KEM_Q,KEM_LEVEL,KEM_MESSAGE_BIT_LENGTH,KEM_N,KEM_K,KEM_ETA1,KEM_ETA2,KEM_N_BLOCKS_FOR_DU0,KEM_DU0,KEM_DU1,KEM_DV,CODE_ALPHA,CODE_BETA,DFR
16384,1,128,64,9,2,0,9,10,0,5,4096,1480,1.5182853737104230101253770193824279032488323157196808896367573656884530554890766e-22
16384,1,128,64,9,2,0,9,10,0,5,4096,1490,2.3361404961584195588607266342895023829734231956589742607694288316295386661628082e-22
16384,1,128,64,9,2,0,9,10,0,5,4096,1500,3.5878264943997650253115851549813471805776219864691971413149495775053344609629865e-22
8192,2,256,128,9,2,0,9,11,0,4,2048,0,1.6240375083169509387873880954459097357404230297058649951858247604755515314230960e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,10,1.6422870486790827876221406660710250901227170703926755567673685697131460412208823e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,20,1.6870728030219553164088532271248653622223306213204756788540614947452330491240078e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,30,1.7623900884079894424778317750958455673039322611976634895157310328653737729764084e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,40,1.8693565679654958055024722152766009911707309251761813081021493497406037472953466e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,50,2.0106593039250904335553028695897663224446296581539860139287569551109289063072233e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,60,2.1828880677605445486523284250089129726380060493525430054141699264062946364730134e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,70,2.3911067051636668491947538883570335673760230460561911547201931517270206342166480e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,80,2.6392909126702921112587892660288827313586015867045052197385890249771948659743888e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,90,2.9246909337886291773692424470702950053000218955913172160699287858351494307406824e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,100,3.2569974239998084337624956288985763354179112521560148618745487163491557062420099e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,110,3.6266161820867248786418505352803534300239570201648039493724191940053443150193349e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,120,4.0460783995096391909726151478031183365971558628452965517495294493699995110093412e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,130,4.5016804112347951126489037672455027480428368449838668635314082643415457823779981e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,140,5.0139467462787970335527380217677905222381640350795048540395391244719606960296926e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,150,5.5693572691666317166382195817880950468857988392862455210153024553776372924727463e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,160,6.1705046535658763048951529346228509908668784895048671797760080379327284929708414e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,170,6.8250021263844976143074177178391558049386648103137920758872595852556173974902498e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,180,7.4988986388152180392866925744788820456509496288042740583462231089924186163147515e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,190,8.2182749127777137892742834818054186190782900430242899802775372959332663646857924e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,200,8.9752382828175249853711868950778325836230812730044483475253448113182378625942186e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,210,9.7431690018639990249728952396279207415609744468469171812614216740835023400206153e-38
8192,2,256,128,9,2,0,9,11,0,4,2048,220,1.0557194608533326365180363494756619105076790842548181319727037806356088455234720e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,230,1.1374856158994276738251453231862318777687646162536640358377019027893310904432893e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,240,1.2181379781365409614353215537070460204338015467612991717356690790793647872358629e-37
