KEM_Q,KEM_LEVEL,KEM_MESSAGE_BIT_LENGTH,KEM_N,KEM_K,KEM_ETA1,KEM_ETA2,KEM_N_BLOCKS_FOR_DU0,KEM_DU0,KEM_DU1,KEM_DV,CODE_ALPHA,CODE_BETA,DFR
7681,3,512,256,8,2,2,8,13,0,7,1920,10,5.9474394319977922053115533808768753964851694655848595781328898773986705217177756e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,20,5.8964628033888506935853762647616130213696023378436967286327410422264984591057817e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,30,5.8150345459243797350641420773971191080380510876580513529918975575965852988939743e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,40,5.7028468412910846171740333758167959639447084353653800835286621983506552944940670e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,50,5.5612988116253982863265539351895997504473274879110074407107623558072000074325535e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,60,5.3939257246875067902823283441556312523235168478236967847815392710316924094536035e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,70,5.2015478759118690324191143880660074438421796659992226426134235855985949609299473e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,80,4.9892468473348982557424835949583745930505869577806276838231382648965231484557429e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,90,4.7578482730187916257932975518557101925205423091753568141308623932603671737718132e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,100,4.5122520774608347675580608187843231752501387827363705376676776067890959122691314e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,110,4.2556482781002948635230522906651547595385193626619796866110275501232149834520387e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,120,3.9921922942843424595905260593375232796085965514171143088164842471914171227009236e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,130,3.7223772802573049193568577570736707338481113877376271246413638618059541821871226e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,140,3.4524458916191732606039523246447818126298237401316438985210935964474690722386919e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,150,3.1841744896160599228993732199270665079685530126597665145483832494252960015307174e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,160,2.9213174380560533995971807245022944494183494534016013115165166154858938503338341e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,170,2.6633127184497045245672509768286287133314992215812806857782488360936996058459933e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,180,2.4157494335196118500707793396771674948950612101696711928807204516435885908181993e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,190,2.1784391250759158920001692840293425657398308191304687246058227587062085298836323e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,200,1.9538241757537449781397415134536569220258537677638403171516344197671935028882765e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,210,1.7424065654852953158537990395193762950830883924966878284095763706113816229219119e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,220,1.5451775203697581550686305689206707527539178800509678504467493120324432903075896e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,230,1.3625533521637950756413188724723814439881671912144782224793686127869733433847984e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,240,1.1957109521444027747854876328576964813790644698771884426932273271176357204395252e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,250,1.0419372655392298948714673570236104434153292555130358004196969190285452358798763e-46
7681,3,512,256,8,2,2,8,13,0,7,1920,260,9.0355143556158106762965661979887905886694478594750167886263724218849103566010317e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,270,7.7912573613194916228655059572525375802343089149261984423657010469213024628348082e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,280,6.6805727754652638910240272869308770430146263263926035405500553802028942356074037e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,290,5.6955868054230952860340651660456247228074834325751263351003288230847523506453071e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,300,4.8293918329991890210281071256395629990859139814411471891895540069150174118624497e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,310,4.0710253479297865327568511661125142771519144633549499120556801347956961561903135e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,320,3.4160514153578663578125842846321101383331415928387196426335939428350335490035191e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,330,2.8448766744914814457369606690297138919397056346048873369046319357766713664715411e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,340,2.3580279781950505840120697738714535088524774296413971597601100341303444991032658e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,350,1.9437502033589243673795522466420966093858167470226298748293544984915315413965433e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,360,1.5933667954935963586310494858406912491089914271370597084309993319371252365450257e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,370,1.2980547201658656899173513078996697654719546879712511887577102244657962366830297e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,380,1.0519014644789330512054915902245300910737962929320318434790942356683491382438488e-47
7681,3,512,256,8,2,2,8,13,0,7,1920,390,8.4761185504296125204800409103675033643990490402682138738839068149820383874766092e-48
7681,3,512,256,8,2,2,8,13,0,7,1920,400,6.7922520894036010252977992057978840954816035691802351944968283022231043922947281e-48
7681,3,512,256,8,2,2,8,13,0,7,1920,410,5.4100336336273384186709112607081186730884962398883702041749565283250713246388145e-48
7681,3,512,256,8,2,2,8,13,0,7,1920,420,4.2863098918028693608152713391465999327576583405310241219352968790849362375739757e-48
7681,3,512,256,8,2,2,8,13,0,7,1920,430,3.3757456267076574608154262983173422814420506397770398953222909837889389768744095e-48
7681,3,512,256,8,2,2,8,13,0,7,1920,440,2.6441401414769871814318691617221617327328840169472206885658511627724117759239345e-48
7681,3,512,256,8,2,2,8,13,0,7,1920,450,2.0591179225562387694357769465252155274746038383194323522215363404482939731562640e-48
7681,3,512,256,8,2,2,8,13,0,7,1920,460,1.5944485297220203524039139433262942489143477675918797641674753838925268421958464e-48
